# probe report -- machine-debian-trixie-16341
# taken     : 2026-09-03T23:46:30+02:00
# image     : /home/jean/.shared/DEVEL/repos/MARIONNET-dune-project/website-repo/download/marionnet-install.sh/1.0.x/machine-debian-trixie-16341
# sum       : 16341
# candidates: 2060 (BINARY_LIST of the .conf)
# probes    : help-timeout=5s x-timeout=6s x-only=0
# X server  : DISPLAY=:0 vendor string: The X.Org Foundation X.Org version: 21.1.11 
#
# name	verdict	rc	probe	first line of stderr
dpkg-buildpackage	OK	0	help	
dpkg-buildtree	OK	0	help	
dpkg-checkbuilddeps	OK	0	help	
dpkg-deb	OK	0	help	
dpkg-distaddfile	OK	0	help	
dpkg-divert	OK	0	help	
dpkg-genbuildinfo	OK	0	help	
dpkg-genchanges	OK	0	help	
dpkg-gencontrol	OK	0	help	
dpkg-gensymbols	OK	0	help	
dpkg-maintscript-helper	OK	0	help	
dpkg-mergechangelogs	OK	0	help	
dpkg-name	OK	0	help	
dpkg-parsechangelog	OK	0	help	
dpkg-preconfigure	OK	1	help	Usage: dpkg-preconfigure [options] [debs]
dpkg-query	OK	0	help	
dpkg-realpath	OK	0	help	
dpkg-reconfigure	OK	1	help	Usage: dpkg-reconfigure [options] packages
dpkg-scanpackages	OK	0	help	
dpkg-scansources	OK	0	help	
dpkg-shlibdeps	OK	0	help	
dpkg-source	OK	0	help	
dpkg-split	OK	0	help	
dpkg-statoverride	OK	0	help	
dpkg-trigger	OK	0	help	
dpkg-vendor	OK	0	help	
dpl4hydra	OK	0	help	
dsymutil-19	OK	0	help	
dtd2vim	ERR	2	help	Can't locate SGML/DTD.pm in @INC (you may need to install the SGML::DTD module) (@INC entries checked: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.40.1 /usr/local/share/perl/5.40.1 /usr/lib/x86_6
dtrust-tool	ERR	2	help	
du	OK	0	help	
dumpcap	OK	0	help	
dumpe2fs	OK	1	help	dumpe2fs 1.47.2 (1-Jan-2025)
dumpkeys	OK	0	help	Usage: dumpkeys [option...]
dumpmscat	ERR	127	help	/usr/bin/dumpmscat: error while loading shared libraries: libsamba-debug-private-samba.so.0: cannot open shared object file: No such file or directory
e2freefrag	OK	1	help	/usr/sbin/e2freefrag: invalid option -- '-'
e2fsck	ERR	16	help	/usr/sbin/e2fsck: invalid option -- '-'
e2image	OK	1	help	e2image 1.47.2 (1-Jan-2025)
e2label	OK	1	help	/usr/sbin/e2label: No such file or directory while trying to open --help
e2mmpstatus	OK	1	help	/usr/sbin/e2mmpstatus: invalid option -- '-'
e2scrub	ERR	2	help	/usr/sbin/e2scrub: illegal option -- -
